%
% vkf.csv - Verständniskontrollfragen
%
% (c) 2023 Prof. Dr. Andreas Mueller, OST
%
% Woche 1
1,1,9,10000009
1,1,10,10000010
1,1,13,10000013
1,1,14,10000014
1,1,15,10000017
1,2,4,20000005
1,2,5,20000006
% Woche 2
2,3,80,30000082
2,3,81,30000083
2,3,82,30000084
2,3,83,30000085
2,3,84,30000086
% Woche 3
3,3,85,30000087
3,3,86,30000088
3,3,87,30000089
3,3,88,30000090
3,3,89,30000091
3,3,90,30000092
% Woche 4
4,3,91,30000093
4,3,92,30000094
4,3,93,30000095
4,3,95,30000097
4,3,96,30000098
% Woche 5
5,4,74,40000075
5,4,75,40000076
5,4,76,40000077
5,4,77,40000078
5,4,78,40000079
5,4,79,40000080
5,4,80,40000081
% Woche 6
6,4,81,40000082
6,4,84,40000085
6,4,82,40000083
6,4,83,40000084
% Woche 7
7,4,85,40000086
7,4,86,40000087
7,4,87,40000088
7,4,88,40000089
7,4,89,40000090
% woche 8
8,5,37,50000037
8,5,38,50000038
8,5,39,50000039
8,5,40,50000040
8,5,41,50000041
% woche 9
9,6,43,60000047
9,6,44,60000048
9,6,45,60000049
9,6,46,60000050
9,6,47,60000051
% woche 10
10,7,66,70000067
10,7,67,70000068
10,7,68,70000069
10,7,69,70000070
10,7,70,70000071
% woche 11
11,7,71,70000072
11,7,72,70000073
11,7,73,70000074
11,7,74,70000075
11,7,75,70000076
% woche 12
12,8,4,80000004
% woche 13
